                                                                     distribution;     GUW-avg-f;     GUW-avg-d;      KR-avg-d;       W-avg-d;     GUW-avg-R;      KR-avg-R;       W-avg-R
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 3.2930922e-01; 1.9926023e-01; 1.5344100e-01; 1.9137708e-01; 3.4901333e+03; 4.3548763e+03; 7.9328573e+02
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 1.7256701e+00; 1.6360619e-01; 3.4339467e-01; 5.1042585e-01; 5.1883079e+03; 1.5063956e+03; 1.8979252e+02
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 1.8778733e+00; 5.8819415e-01; 5.6177082e-01; 8.4150708e-01; 3.5780639e+03; 6.1851627e+02; 7.1759930e+01
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 0.0000000e+00; 5.7403228e-03; 3.3974674e-02; 5.7370501e-03; 1.4195290e+04; 1.0684854e+04; 3.1673177e+03
RCDD-R_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 4.4152038e+00; 6.4328602e-01; 8.4157818e-01; 1.0328816e+00; 9.9833006e+03; 2.5434417e+02; 3.9488796e+01
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 4.9377063e-01; 3.5795749e-01; 7.0951103e-02; 4.3147060e-01; 3.0681429e+03; 7.6696167e+03; 4.5457126e+02
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; 1.2473091e+00; 4.2152109e-01; 3.3514964e-02; 5.9038147e-01; 3.7183009e+03; 1.2793569e+04; 3.6186164e+02
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 9.2638861e-01; 9.8700435e-03; 1.7509641e-02; 3.4844184e-02; 1.2820829e+04; 1.0794606e+04; 3.1724211e+03
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_t_6.7566598e02_nm_output_analysis; 1.2561888e+00; 5.9590337e-01; 2.7064139e-02; 9.9863189e-01; 2.0600692e+03; 9.7335373e+03; 1.5128011e+02
RCDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 4.9288898e-01; 1.6313616e-01; 1.5940629e-02; 1.6836043e-01; 5.5060533e+03; 1.0936365e+04; 1.1021850e+03
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 9.4557365e-01; 4.2903784e-02; 3.1226328e-03; 1.5819961e-02; 2.4065958e+04; 1.4146430e+04; 3.5863588e+03
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 7.2993940e-01; 8.7130260e-01; 5.6900914e-01; 1.1122765e+00; 6.1940935e+02; 8.6526435e+02; 6.4636616e+01
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 6.0484672e-01; 1.2203018e-01; 1.3251659e-01; 2.6663311e-01; 6.8985006e+03; 5.5654183e+03; 6.7542152e+02
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 1.0592925e+00; 3.0260135e-01; 2.4358414e-01; 5.8499285e-01; 4.8712061e+03; 2.9445001e+03; 2.1915413e+02
RCDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 2.8270816e+00; 2.8991502e-01; 3.8723209e-01; 8.2944432e-01; 6.0061406e+03; 1.4266629e+03; 1.0496180e+02
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 3.3355497e+00; 2.2708349e-01; 1.6710240e-01; 7.6783575e-01; 7.2273187e+03; 4.4799456e+03; 1.7074163e+02
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 1.6116223e+00; 9.8966948e-03; 3.9109838e-03; 1.6156093e-03; 1.3873336e+04; 1.1960225e+04; 2.6582037e+03
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; 5.1220622e+00; 4.8597045e-01; 2.2694639e-01; 9.7775959e-01; 9.9912187e+03; 2.9234526e+03; 9.9385832e+01
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 5.6135213e-01; 1.3251447e-01; 7.4061853e-02; 2.5142191e-01; 6.0651276e+03; 7.4104529e+03; 7.3711262e+02
RCDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 2.0132380e-01; 3.8687823e-01; 1.0473400e-01; 5.1367918e-01; 2.5557024e+03; 6.7418436e+03; 3.4380506e+02
