                                                   distribution;     GUW-std-f;     GUW-std-d;      KR-std-d;       W-std-d;     GUW-std-R;      KR-std-R;       W-std-R
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_output_analysis; 1.0490920e+00; 8.5778256e-02; 2.1433043e-03; 4.3067061e-02; 1.7263701e+03; 9.6733594e+01; 2.0847508e+02
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_output_analysis; 1.1923863e+00; 8.7414899e-02; 3.6389071e-03; 2.5034760e-01; 2.2236777e+02; 2.1174175e+01; 9.3631750e+01
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_output_analysis; 3.5003998e-01; 8.9994496e-02; 3.5825811e-03; 3.4033115e-02; 2.8848145e+03; 2.8642166e+02; 5.9572171e+02
RRDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_output_analysis; 1.2468440e+00; 3.1201328e-02; 5.5667390e-03; 2.3050555e-02; 1.8926148e+02; 6.1817645e+01; 4.2170379e+01
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_output_analysis; 2.4703213e-01; 8.4097166e-02; 0.0000000e+00; 2.9383355e-01; 5.2610035e+01; 0.0000000e+00; 2.5838654e+01
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_output_analysis; 1.3143934e-01; 1.0218280e-01; 4.1127094e-03; 3.2007552e-02; 9.7087818e+02; 9.1165251e+01; 9.2315412e+01
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_output_analysis; 1.0602829e-01; 2.3559908e-02; 8.4326477e-03; 1.9138048e-02; 4.1191168e+01; 2.1378728e+01; 6.8493034e+00
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_output_analysis; 6.6142336e-02; 4.2884524e-03; 3.5434021e-03; 1.0496908e-02; 1.9406565e+01; 1.6241315e+01; 7.7389165e+00
RRDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_output_analysis; 1.7045750e-01; 3.6159096e-02; 3.3699563e-03; 1.9791701e-02; 2.7761034e+02; 3.5091278e+01; 3.0698195e+01
RRDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_output_analysis; 1.7588501e+00; 1.5630840e-02; 4.3583170e-03; 1.5875567e-02; 3.0897591e+02; 1.0590857e+02; 5.4216371e+01
RRDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_2.00e02_nm_output_analysis; 2.3722047e-01; 8.1414547e-02; 3.5307886e-03; 2.7602571e-01; 1.0386083e+02; 8.5802777e+00; 4.8549866e+01
RRDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_3.20e03_nm_output_analysis; 3.8808884e-01; 1.5585135e-01; 2.0514235e-03; 1.6756328e-02; 2.5437881e+03; 1.0420437e+02; 1.2105776e+02
RRDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_4.00e02_nm_output_analysis; 9.4890009e-02; 4.6036030e-02; 9.0331900e-03; 1.4171091e-02; 1.2249744e+02; 4.8685219e+01; 1.1433450e+01
RRDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_8.00e02_nm_output_analysis; 2.7171363e-01; 7.8191108e-03; 3.2939340e-03; 1.3221500e-02; 7.5816413e+01; 3.5454353e+01; 2.0020593e+01
