                                                   distribution;     GUW-avg-f;     GUW-avg-d;      KR-avg-d;       W-avg-d;     GUW-avg-R;      KR-avg-R;       W-avg-R
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_output_analysis; 8.1099554e-03; 5.1924194e-03; 1.4658514e-02; 7.9098608e-02; 5.7585277e+03; 2.6840901e+03; 9.2572306e+02
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_output_analysis; 2.5631581e+00; 2.3535802e-01; 9.0692483e-02; 1.6324350e-01; 6.5239845e+04; 5.5300826e+03; 4.5405203e+03
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_output_analysis; 6.4505577e-03; 2.1805030e-03; 2.1031453e-02; 7.9613721e-02; 3.9944261e+03; 1.7458890e+03; 5.7759618e+02
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_output_analysis; 4.5749331e-01; 6.4622856e-02; 3.8458760e-02; 7.0728764e-02; 7.7550422e+03; 3.1461532e+03; 1.7494599e+03
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_output_analysis; 0.0000000e+00; 5.5332200e-02; 2.5257096e-02; 5.5313917e-02; 6.5213188e+03; 2.6754750e+03; 1.4549149e+03
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_output_analysis; 7.0935770e-03; 2.2551427e-03; 2.4969424e-02; 8.6219185e-02; 4.7218881e+03; 2.0103020e+03; 6.5112398e+02
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_output_analysis; 2.7020800e-01; 1.9313993e-02; 1.1872096e-02; 2.6328591e-02; 5.2127769e+03; 2.4868677e+03; 1.1990349e+03
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_2.00e02_nm_output_analysis; 8.3357207e+00; 3.1760171e-01; 3.5273566e-02; 1.6883452e-01; 1.0000000e+05; 3.0536937e+03; 3.8337630e+03
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_3.20e03_nm_output_analysis; 5.7809810e-01; 2.6442649e-02; 6.7646230e-04; 2.6416301e-02; 4.8565050e+03; 2.0243436e+03; 1.0348302e+03
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_4.00e02_nm_output_analysis; 9.3890466e-01; 3.0103427e-02; 2.4749856e-02; 3.5507048e-02; 5.9229273e+03; 2.8244257e+03; 1.3482522e+03
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_8.00e02_nm_output_analysis; 8.4074536e-01; 7.0818253e-02; 1.9451191e-02; 5.6082259e-02; 6.9230311e+03; 2.3502276e+03; 1.2894241e+03
