                                                   distribution;     GUW-std-f;     GUW-std-d;      KR-std-d;       W-std-d;     GUW-std-R;      KR-std-R;       W-std-R
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_output_analysis; 1.1658562e+00; 4.0827783e-02; 0.0000000e+00; 1.7462975e-02; 1.6328101e+04; 0.0000000e+00; 4.1926675e+02
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_output_analysis; 3.8516315e-03; 2.0661170e-02; 3.4477516e-03; 2.1123919e-02; 1.4456347e+03; 3.1593304e+02; 2.7413529e+02
RRDD-R_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_output_analysis; 4.1067700e-03; 2.2716223e-02; 0.0000000e+00; 3.1385863e-02; 1.6605926e+03; 0.0000000e+00; 3.7443542e+02
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_output_analysis; 1.6012554e-18; 5.1767497e-02; 0.0000000e+00; 5.2525132e-02; 2.7996424e+04; 0.0000000e+00; 6.4496996e+03
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_output_analysis; 6.7545546e-02; 8.9070163e-03; 3.7269370e-03; 2.7421891e-02; 6.0226776e+02; 2.2590421e+02; 2.2539455e+02
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_output_analysis; 7.1879743e-16; 1.9553298e-02; 3.7437368e-03; 1.9551869e-02; 2.6842487e+03; 3.8887745e+02; 5.9886666e+02
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_output_analysis; 0.0000000e+00; 1.7668373e-02; 3.7406996e-03; 1.7664830e-02; 1.7909905e+03; 3.6927386e+02; 3.9951424e+02
RRDD-R_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_output_analysis; 2.1312556e-03; 7.0279175e-03; 4.1861121e-03; 2.8693374e-02; 5.8702558e+02; 3.2177639e+02; 2.8832582e+02
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_output_analysis; 4.9502100e-01; 6.9037466e-03; 3.2429178e-03; 1.3421354e-02; 6.5790250e+02; 2.8513031e+02; 2.2971511e+02
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_2.00e02_nm_output_analysis; 2.1531892e+00; 6.9836255e-02; 2.8622459e-03; 8.6037481e-02; 3.1265415e+04; 2.9165449e+02; 8.7537990e+03
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_3.20e03_nm_output_analysis; 2.4160115e-01; 8.0784097e-03; 3.6340957e-03; 1.2580564e-02; 5.2669466e+02; 2.4842560e+02; 1.6721891e+02
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_4.00e02_nm_output_analysis; 2.4404048e+00; 1.3962641e-02; 5.1202832e-03; 1.3451849e-02; 2.8360541e+03; 5.2799910e+02; 2.9049848e+02
RRDD-R_a3_5.00e00_nm_d_5.00e13_m-2_s_8.00e02_nm_output_analysis; 2.8818680e+00; 3.0273688e-02; 3.9307243e-03; 1.8787783e-02; 3.5917539e+03; 3.2571183e+02; 3.2352814e+02
