                                                                     distribution;     GUW-std-f;     GUW-std-d;      KR-std-d;       W-std-d;     GUW-std-R;      KR-std-R;       W-std-R
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_5.00e01_nm_t_5.2786405e00_nm_output_analysis; 9.6566510e-02; 1.1464207e-01; 0.0000000e+00; 8.5165737e-02; 2.7953034e+01; 0.0000000e+00; 2.3299097e+01
RCDD-E_a3_3.50e00_nm_d_8.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 2.8535394e+00; 2.9930657e-01; 0.0000000e+00; 2.3976022e-01; 2.0199160e+01; 0.0000000e+00; 3.9390499e+00
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 3.5951079e+00; 1.3499914e-01; 2.9604242e-03; 9.3443761e-02; 4.4198382e+02; 6.2046377e+01; 8.3460609e+01
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; 3.3637376e+00; 1.3858393e-01; 0.0000000e+00; 1.4383160e-01; 4.5892990e+02; 0.0000000e+00; 1.2488694e+02
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 1.4896054e+00; 9.3046094e-02; 0.0000000e+00; 9.5906765e-02; 1.7089597e+02; 0.0000000e+00; 1.3786782e+02
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_6.40e03_nm_t_6.7566598e02_nm_output_analysis; 3.4067065e+00; 2.2496466e-01; 0.0000000e+00; 3.3584257e-01; 5.1322430e+02; 0.0000000e+00; 1.1796164e+02
RCDD-E_a3_5.00e00_nm_d_1.25e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 2.7427244e+00; 7.1810008e-02; 4.3257927e-03; 7.8942372e-02; 2.3082436e+02; 4.9909331e+01; 6.6389349e+01
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.00e02_nm_t_1.0557281e01_nm_output_analysis; 1.5769229e-01; 1.1565980e-01; 0.0000000e+00; 9.2110252e-02; 5.2497149e+01; 0.0000000e+00; 4.6483005e+01
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 2.8560357e+00; 3.2060563e-01; 0.0000000e+00; 2.2771887e-01; 4.9618962e+01; 0.0000000e+00; 8.7410727e+00
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 1.3300636e+00; 3.5402710e-02; 0.0000000e+00; 8.2212908e-02; 3.0837797e+01; 0.0000000e+00; 1.9269929e+01
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 1.6409818e+00; 1.0898845e-01; 0.0000000e+00; 8.0810469e-02; 5.2292231e+01; 0.0000000e+00; 8.8985150e+00
RCDD-E_a3_5.00e00_nm_d_2.00e14_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 2.9475849e+00; 2.3838381e-01; 0.0000000e+00; 1.0420771e-01; 5.4351002e+01; 0.0000000e+00; 6.1161489e+00
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_1.60e03_nm_t_1.6891649e02_nm_output_analysis; 3.0940500e+00; 1.4593057e-01; 0.0000000e+00; 1.6940824e-01; 1.4959834e+02; 0.0000000e+00; 3.2450723e+01
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_2.00e02_nm_t_2.1114562e01_nm_output_analysis; 1.1347224e+00; 1.2855360e-01; 3.0775178e-03; 1.0618578e-01; 1.1172139e+02; 8.0892098e+00; 1.0923292e+02
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_3.20e03_nm_t_3.3783299e02_nm_output_analysis; 3.1919867e+00; 4.1327934e-01; 0.0000000e+00; 3.0775476e-01; 1.6165689e+02; 0.0000000e+00; 3.2641304e+01
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_4.00e02_nm_t_4.2229124e01_nm_output_analysis; 2.6847036e+00; 4.2115924e-02; 0.0000000e+00; 7.9851439e-02; 7.9003243e+01; 0.0000000e+00; 3.5997860e+01
RCDD-E_a3_5.00e00_nm_d_5.00e13_m-2_s_8.00e02_nm_t_8.4458247e01_nm_output_analysis; 3.0595073e+00; 8.5040494e-02; 0.0000000e+00; 9.9724306e-02; 1.3122590e+02; 0.0000000e+00; 2.8988016e+01
